id,name,barcode,category
0da82a59-1cf3-46fa-9446-7d8c9f218ca7,"Naturalis Gato Cast Frango E Peru 1,5kg",7896588959723,Naturalis Gatos Frasco
79888fa2-e7de-43b2-b15f-b49b8f86c004,"Naturalis Gato Filhote Frango E Pei X E 1,5kg",7896588959884,Naturalis Gatos Frasco
34549314-ebf5-494f-866f-45bb7ae2ff2a,Natuverm Suspensao 20ml,7898254040193,Vermífugos
57f63e4c-ddc8-466d-b13f-cda370666485,"Ne X Gard M 4,1 - 10kg C / 1un",7898053774404,Antiparasitario
77db2cb5-3caa-4734-b1c7-ee15b258e286,"Neo PET 20 - 40kg 2,68ml",7898019867256,Antiparasitario
edf7cb14-c21f-4e2e-9a76-9289b25587a4,Neode X A F Creme 15g,7891126001278,Antifungicos
55e0d92e-edb2-4c53-aab9-9a13b6f5c2f3,Neode X A Spray 125ml,7891126001308,Antifungicos
883efe3b-fbb6-4ebf-85c0-04d172b7301b,Neotopic Sm 125ml,7898079240297,Antifungicos
7fe006ea-0f1f-4268-b149-137b0357bb8d,Norflagen 200Mg C / 1 Comprimido,7896006219194,Antibióticos
64f0f528-4e08-45d5-a288-c3a3a2652bc9,Nutralife Sabor Carne 14g,7898053582979,Remédios
ff98dbe2-fc9c-4440-adcd-fddefbcdea11,Nutralogic 75g C / 60 Comprimido,7898053582832,Suplementos Alimentares
3fc4136c-b130-4328-a309-2d21b3d0bd80,Nutralogic PET 100g,7898053583372,Suplementos Alimentares
0e22436f-fe5e-4bfd-bedf-5c4468715534,Nutricuper Dog 120ml,7898195861048,Vitaminas
3c780ccc-d663-454f-b7c0-5bc6a91d00e7,Nutrifull Cat 30ml,7898195861024,Vitaminas
ca264b62-0091-458d-91b5-5d13278e19a5,Nutrifull Dog 120ml,7898195860782,Vitaminas
13fae600-097c-4f57-9d72-f5c804046ec2,Nutrifull Dog 30ml,7898195860737,Vitaminas
caea2bfa-08f1-4d03-ab94-7be5e0b6e118,Nutropica Coleiro Power E X T.Natural 300g,7898591871283,Aves
ed2b7c7d-6e6f-4454-8f96-cf52b9967d51,Ogra X - 3 1000 C / 30 Cápsulas,7898549750639,Condroprotetores
23a553b9-e8fe-45a3-80aa-5bd94cb04516,Ogra X - 3 500 C / 30 Cápsulas,7898549750622,Condroprotetores
2280a9e5-74cc-4e5e-9a0a-9f8a2b50d979,Olhim 30ml,7898950333513,Colírios
79aba6c2-e733-4547-b92d-a76bdb9727be,Oralguard 150Mg C / 1 Comprimido,7898146300480,Antibióticos
27df08bd-1dda-4c28-bb82-92b49a03f140,Oralguard 50Mg C / 1 Comprimido,7898146300473,Antibióticos
ebe39631-47b1-4cf6-b51c-45c7c1343b9d,Organew 100g,7898053581767,Suplementos Alimentares
aa3ee06f-c0f4-4f10-a4c6-e3022ebe5a11,Organnact Orga Calcio PET Tabs C / 30 Tbs 30g,7898195861734,Vitaminas
b865be71-01ae-415c-acfc-11d133d4c35c,Origens Gato Adulto Framgo 10kg,5000000055685,Origens Gatos Sc
5c832564-c3f7-4392-9265-e4c0aba2dc2e,Origens Gato Adulto Salmao 10kg,5000000055692,Origens Gatos Sc
962c4783-a267-4b58-a11c-da27d715dd88,Orozyme Gel 70g,7898936195463,Higiene
1d12d7f7-6b6e-44fb-a17b-0295ff9dbd8a,Osso De Calcio Bloco Grit Erva Doce Aarao,7898905440099,Aves
